game,channel,spec,pair,open_threat,open_agreement,open_affirm,open_solicit,open_len,open_coop,open_price,late_coop,late_K
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,0,0,56.0,0.75,,0.625,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,0,0,56.0,0.75,,0.75,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,0,0,56.0,0.75,,0.5,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,0,87.0,1.0,,0.0,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,1,0,113.66666666666667,1.0,,1.0,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,0,100.0,1.0,,0.5,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,0,95.33333333333333,1.0,,0.7,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,1,0,111.33333333333333,1.0,,0.9,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,0,137.33333333333334,1.0,,1.0,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,1,136.66666666666666,0.3333333333333333,,1.0,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,1,0,95.33333333333333,1.0,,0.3,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,0,123.33333333333333,0.16666666666666666,,0.05,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,1,0,98.0,1.0,,0.55,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,0,79.16666666666667,1.0,,1.0,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,1,0,119.16666666666667,1.0,,0.15,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,1,100.25,1.0,,1.0,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,1,0,90.75,1.0,,1.0,
ipd,L2_observed,canonical,qwen-72b+deepseek-v3,0,1,1,0,108.83333333333333,1.0,,0.95,
ipd,L2_observed,canonical,deepseek-v3+qwen-72b,0,1,1,1,122.33333333333333,1.0,,0.5,
